combo,weight,ev
AsKsKh9h,1,1.24
AsKsKd9d,1,1.24
AsKsKc9c,1,1.24
AhKhKd9d,1,1.24
AhKhKc9c,1,1.24
AhKsKh9s,1,1.24
AdKdKc9c,1,1.24
AdKsKd9s,1,1.24
AdKhKd9h,1,1.24
AcKsKc9s,1,1.24
AcKhKc9h,1,1.24
AcKdKc9d,1,1.24
AsKsKh8h,1,1.22
AsKsKd8d,1,1.22
AsKsKc8c,1,1.22
AhKhKd8d,1,1.22
AhKhKc8c,1,1.22
AhKsKh8s,1,1.22
AdKdKc8c,1,1.22
AdKsKd8s,1,1.22
AdKhKd8h,1,1.22
AcKsKc8s,1,1.22
AcKhKc8h,1,1.22
AcKdKc8d,1,1.22
AsKsKh7h,1,1.22
AsKsKd7d,1,1.22
AsKsKc7c,1,1.22
AhKhKd7d,1,1.22
AhKhKc7c,1,1.22
AhKsKh7s,1,1.22
AdKdKc7c,1,1.22
AdKsKd7s,1,1.22
AdKhKd7h,1,1.22
AcKsKc7s,1,1.22
AcKhKc7h,1,1.22
AcKdKc7d,1,1.22
AsKsKh6h,1,1.21
AsKsKd6d,1,1.21
AsKsKc6c,1,1.21
AhKhKd6d,1,1.21
AhKhKc6c,1,1.21
AhKsKh6s,1,1.21
AdKdKc6c,1,1.21
AdKsKd6s,1,1.21
AdKhKd6h,1,1.21
AcKsKc6s,1,1.21
AcKhKc6h,1,1.21
AcKdKc6d,1,1.21
AsKsKh5h,1,1.4
AsKsKd5d,1,1.4
AsKsKc5c,1,1.4
AhKhKd5d,1,1.4
AhKhKc5c,1,1.4
AhKsKh5s,1,1.4
AdKdKc5c,1,1.4
AdKsKd5s,1,1.4
AdKhKd5h,1,1.4
AcKsKc5s,1,1.4
AcKhKc5h,1,1.4
AcKdKc5d,1,1.4
AsKsKh4h,1,1.4
AsKsKd4d,1,1.4
AsKsKc4c,1,1.4
AhKhKd4d,1,1.4
AhKhKc4c,1,1.4
AhKsKh4s,1,1.4
AdKdKc4c,1,1.4
AdKsKd4s,1,1.4
AdKhKd4h,1,1.4
AcKsKc4s,1,1.4
AcKhKc4h,1,1.4
AcKdKc4d,1,1.4
AsKsKh3h,1,1.37
AsKsKd3d,1,1.37
AsKsKc3c,1,1.37
AhKhKd3d,1,1.37
AhKhKc3c,1,1.37
AhKsKh3s,1,1.37
AdKdKc3c,1,1.37
AdKsKd3s,1,1.37
AdKhKd3h,1,1.37
AcKsKc3s,1,1.37
AcKhKc3h,1,1.37
AcKdKc3d,1,1.37
AsKsKh2h,1,1.29
AsKsKd2d,1,1.29
AsKsKc2c,1,1.29
AhKhKd2d,1,1.29
AhKhKc2c,1,1.29
AhKsKh2s,1,1.29
AdKdKc2c,1,1.29
AdKsKd2s,1,1.29
AdKhKd2h,1,1.29
AcKsKc2s,1,1.29
AcKhKc2h,1,1.29
AcKdKc2d,1,1.29
AsKsKhKd,1,0.03
AsKsKhKc,1,0.03
AsKsKdKc,1,0.03
AhKhKdKc,1,0.03
AhKsKhKd,1,0.03
AhKsKhKc,1,0.03
AdKhKdKc,1,0.03
AdKsKdKc,1,0.03
AdKsKhKd,1,0.03
AcKsKhKc,1,0.03
AcKsKdKc,1,0.03
AcKhKdKc,1,0.03
AsKsKhQd,1,1.04
AsKsKhQc,1,1.04
AsKsKdQc,1,1.04
AsKsKdQh,1,1.04
AsKsKcQh,1,1.04
AsKsKcQd,1,1.04
AhKhKdQc,1,1.04
AhKhKdQs,1,1.04
